hindi,gsheet_goog_translate,append_prompt,gsheet_prompt_translate_with_prompt,eng_prompt_translate,chat_gpt_append,chat_gpt_pre,chat_gpt_translit_split_a,chat_gpt_translit_split_b,chat_gpt_translit_split_c,chat_gpt_fin
मादलिया,Madalia,rajasthan village name: मादलिया,Rajasthan Village Name: Madaliya,Madaliya,मादलिया - Mādaliyā,मादलिया , Mādaliyā,,,Mādaliyā
मादा,Female,rajasthan village name: मादा,Rajasthan Village Name: Female,Female,मादा - Mādā,मादा , Mādā,,,Mādā
माधासर,Madhasar,rajasthan village name: माधासर,Rajasthan Village Name: Madhasar,Madhasar,माधासर - Mādhāsar,माधासर , Mādhāsar,,,Mādhāsar
माधुपुरा,Madhupura,rajasthan village name: माधुपुरा,Rajasthan Village Name: Madhupura,Madhupura,माधुपुरा - Mādhupurā,माधुपुरा , Mādhupurā,,,Mādhupurā
माध‍ोगढ,Madhogadh,rajasthan village name: माध‍ोगढ,Rajasthan Village Name: Madhogadh,Madhogadh,माध‍ोगढ - Mādhōgadh,माध‍ोगढ , Mādhōgadh,,,Mādhōgadh
माध‍ोगढ+,Madhogad+,rajasthan village name: माध‍ोगढ+,Rajasthan Village Name: Madhogad+,Madhogad+,माध‍ोगढ+ - Mādhōgadh+,माध‍ोगढ+ , Mādhōgadh+,,,Mādhōgadh+
माधोडिग्गी (13 केजेडी),Madhodiggi (13 KJD),rajasthan village name: माधोडिग्गी (13 केजेडी),Rajasthan Village Name: Madhodiggi (13 KJD),Madhodiggi (13 KJD),माधोडिग्गी (13 केजेडी) - Madhodiggi (13 Kejedi),माधोडिग्गी (13 केजेडी) , Madhodiggi (13 Kejedi),,,Madhodiggi (13 Kejedi)
माध‍ोपुर,Madh Yopur,rajasthan village name: माध‍ोपुर,Rajasthan Village Name: Madhis,Madhis,माधोपुर - Mādhōpur,माधोपुर , Mādhōpur,,,Mādhōpur
माध‍ोराजपुरा,Madhorajpura,rajasthan village name: माध‍ोराजपुरा,Rajasthan Village Name: Madhorajpura,Madhorajpura,माध‍ोराजपुरा - Mādhōrājpurā,माध‍ोराजपुरा , Mādhōrājpurā,,,Mādhōrājpurā
मानक थेड़ी,Standard Thedi,rajasthan village name: मानक थेड़ी,Rajasthan Village Name: Standard Thedi,Standard Thedi,मानक थेड़ी - Mānak Thēṛī,मानक थेड़ी , Mānak Thēṛī,,,Mānak Thēṛī
मानकसर,Standardsar,rajasthan village name: मानकसर,Rajasthan Village Name: Manaksar,Manaksar,मानकसर - Mānakasar,मानकसर , Mānakasar,,,Mānakasar
मानका,Manka,rajasthan village name: मानका,Rajasthan Village Name: Manka,Manka,मानका - Mānakā,मानका , Mānakā,,,Mānakā
मानपुर,Manpur,rajasthan village name: मानपुर,Rajasthan Village Name: Manpur,Manpur,मानपुर - Mānapur,मानपुर , Mānapur,,,Mānapur
मानपुर - अ,Manpur - A,rajasthan village name: मानपुर - अ,Rajasthan Village Name: Manpur - A,Manpur - A,मानपुर - अ - Mānapur - A,मानपुर , अ , Mānapur , A,अ - Mānapur - A
मानपुरा,Manpura,rajasthan village name: मानपुरा,Rajasthan Village Name: Manpura,Manpura,मानपुरा - Mānapurā,मानपुरा , Mānapurā,,,Mānapurā
मानपुरा जागीर,Manpura jagir,rajasthan village name: मानपुरा जागीर,Rajasthan Village Name: Manpura Jagir,Manpura Jagir,मानपुरा जागीर - Mānapurā Jāgīr,मानपुरा जागीर , Mānapurā Jāgīr,,,Mānapurā Jāgīr
मानपुरा माचेडी,Manpura machendi,rajasthan village name: मानपुरा माचेडी,Rajasthan Village Name: Manpura Machendi,Manpura Machendi,मानपुरा माचेडी - Mānapurā Mācheḍī,मानपुरा माचेडी , Mānapurā Mācheḍī,,,Mānapurā Mācheḍī
मानपुरियों का गुड़ा,Manpuri guda,rajasthan village name: मानपुरियों का गुड़ा,Rajasthan Village Name: Manpuri Guda,Manpuri Guda,मानपुरियों का गुड़ा - Mānapuriyoṁ kā Guṛā,मानपुरियों का गुड़ा , Mānapuriyoṁ kā Guṛā,,,Mānapuriyoṁ kā Guṛā
मानसगाॅंव,Manasgaon,rajasthan village name: मानसगाॅंव,Rajasthan Village Name: Manasgaon,Manasgaon,मानसगाॅंव - Mānasgāva,मानसगाॅंव , Mānasgāva,,,Mānasgāva
मानसरखेडी,Mansarkhedi,rajasthan village name: मानसरखेडी,Rajasthan Village Name: Mansarkhedi,Mansarkhedi,मानसरखेडी - Mānasarakhēḍī,मानसरखेडी , Mānasarakhēḍī,,,Mānasarakhēḍī
मानसागर,Masnagar,rajasthan village name: मानसागर,Rajasthan Village Name: Mansagar,Mansagar,मानसागर - Mānasāgar,मानसागर , Mānasāgar,,,Mānasāgar
मानावतों का गुड़ा,Guda,rajasthan village name: मानावतों का गुड़ा,Rajasthan Village Name: Guda of Manavatas,Guda of Manavatas,मानावतों का गुड़ा - Mānāvatōṁ kā Guṛā,मानावतों का गुड़ा , Mānāvatōṁ kā Guṛā,,,Mānāvatōṁ kā Guṛā
मानासर,Manasar,rajasthan village name: मानासर,Rajasthan Village Name: Manasar,Manasar,मानासर - Mānāsar,मानासर , Mānāsar,,,Mānāsar
मानांेता,Manneeta,rajasthan village name: मानांेता,Rajasthan Village Name: Manneeta,Manneeta,मानांेता - Mānāṅētā,मानांेता , Mānāṅētā,,,Mānāṅētā
मानूका,Manuka,rajasthan village name: मानूका,Rajasthan Village Name: Manuka,Manuka,मानूका - Mānūkā,मानूका , Mānūkā,,,Mānūkā
मानेवाला,Dealer,rajasthan village name: मानेवाला,Rajasthan Village Name: Monkey,Monkey,मानेवाला - Mānevālā,मानेवाला , Mānevālā,,,Mānevālā
मान‍ोता कलां,Manota Kalan,rajasthan village name: मान‍ोता कलां,Rajasthan Village Name: Manota Kalan,Manota Kalan,मान‍ोता कलां - Mānōtā Kalāṁ,मान‍ोता कलां , Mānōtā Kalāṁ,,,Mānōtā Kalāṁ
मान‍ोता जाटान,Manota Jatan,rajasthan village name: मान‍ोता जाटान,Rajasthan Village Name: Manota Jatan,Manota Jatan,मान‍ोता जाटान - Mānōtā Jāṭān,मान‍ोता जाटान , Mānōtā Jāṭān,,,Mānōtā Jāṭān
मान्दलिया,Mandalia,rajasthan village name: मान्दलिया,Rajasthan Village Name: Mandalia,Mandalia,मान्दलिया - Māndaliyā,मान्दलिया , Māndaliyā,,,Māndaliyā
मान्दी,Malay,rajasthan village name: मान्दी,Rajasthan Village Name: Mandir,Mandir,मान्दी - Māndī,मान्दी , Māndī,,,Māndī
मान्द‍ोलाई,Mandolai,rajasthan village name: मान्द‍ोलाई,Rajasthan Village Name: Mandolai,Mandolai,मान्द‍ोलाई - Māndōlāī,मान्द‍ोलाई , Māndōlāī,,,Māndōlāī
मान्नोज,Mannoj,rajasthan village name: मान्नोज,Rajasthan Village Name: Mannoj,Mannoj,मान्नोज - Mānnōj,मान्नोज , Mānnōj,,,Mānnōj
मामचारी,Mamchari,rajasthan village name: मामचारी,Rajasthan Village Name: Mamachari,Mamachari,मामचारी - Māmachārī,मामचारी , Māmachārī,,,Māmachārī
मामड़ाेदा,Mamdaeda,rajasthan village name: मामड़ाेदा,Rajasthan Village Name: Mampededa,Mampededa,मामड़ाेदा - Māmaṛāōdā,मामड़ाेदा , Māmaṛāōdā,,,Māmaṛāōdā
मामड‍ोली,Mamdoli,rajasthan village name: मामड‍ोली,Rajasthan Village Name: Mamdoli,Mamdoli,मामड‍ोली - Māmaḍōlī,मामड‍ोली , Māmaḍōlī,,,Māmaḍōlī
मामेर,Mamer,rajasthan village name: मामेर,Rajasthan Village Name: Mammer,Mammer,मामेर - Māmēr,मामेर , Māmēr,,,Māmēr
माम‍ौर,Mamore,rajasthan village name: माम‍ौर,Rajasthan Village Name: Mamore,Mamore,माम‍ौर - Māmōur,माम‍ौर , Māmōur,,,Māmōur
मायजा,Myaza,rajasthan village name: मायजा,Rajasthan Village Name: Myza,Myza,मायजा - Māyajā,मायजा , Māyajā,,,Māyajā
मायला,Myla,rajasthan village name: मायला,Rajasthan Village Name: Myla,Myla,मायला - Māylā,मायला , Māylā,,,Māylā
मायापुर,Mayapur,rajasthan village name: मायापुर,Rajasthan Village Name: Mayapur,Mayapur,मायापुर - Māyāpur,मायापुर , Māyāpur,,,Māyāpur
मारुड़ी,Marudi,rajasthan village name: मारुड़ी,Rajasthan Village Name: Marudi,Marudi,मारुड़ी - Māruṛī,मारुड़ी , Māruṛī,,,Māruṛī
मारोठ,Maroth,rajasthan village name: मारोठ,Rajasthan Village Name: Maroth,Maroth,मारोठ - Mārōth,मारोठ , Mārōth,,,Mārōth
मारोल,Marol,rajasthan village name: मारोल,Rajasthan Village Name: Marol,Marol,मारोल - Mārōl,मारोल , Mārōl,,,Mārōl
मारोली,Maroli,rajasthan village name: मारोली,Rajasthan Village Name: Maroli,Maroli,मारोली - Mārōlī,मारोली , Mārōlī,,,Mārōlī
माल,Goods,rajasthan village name: माल,Rajasthan Village Name: Goods,Goods,माल - Māl,माल , Māl,,,Māl
मालं,Malan,rajasthan village name: मालं,Rajasthan Village Name: Malam,Malam,मालं - Mālaṁ,मालं , Mālaṁ,,,Mālaṁ
माल का खेडा,Goods kheda,rajasthan village name: माल का खेडा,Rajasthan Village Name: goods of goods,goods of goods,माल का खेडा - Māl kā Kheḍā,माल का खेडा , Māl kā Kheḍā,,,Māl kā Kheḍā
माल की टूस,Goods tus,rajasthan village name: माल की टूस,Rajasthan Village Name: goods tus,goods tus,माल की टूस - Māl kī Ṭūs,माल की टूस , Māl kī Ṭūs,,,Māl kī Ṭūs
मालकसर,Malaksar,rajasthan village name: मालकसर,Rajasthan Village Name: Malaksar,Malaksar,मालकसर - Mālakasar,मालकसर , Mālakasar,,,Mālakasar
मालकोसनी,Malkasani,rajasthan village name: मालकोसनी,Rajasthan Village Name: Malksani,Malksani,मालकोसनी - Mālakōsanī,मालकोसनी , Mālakōsanī,,,Mālakōsanī
मालनवासा,Malanwasa,rajasthan village name: मालनवासा,Rajasthan Village Name: Malanwasa,Malanwasa,मालनवासा - Mālanavāsā,मालनवासा , Mālanavāsā,,,Mālanavāsā
मालनू,Malanu,rajasthan village name: मालनू,Rajasthan Village Name: Malanu,Malanu,मालनू - Mālanū,मालनू , Mālanū,,,Mālanū
मालपुर,Malpur,rajasthan village name: मालपुर,Rajasthan Village Name: Malpur,Malpur,मालपुर - Mālpur,मालपुर , Mālpur,,,Mālpur
मालपुरा,Malpura,rajasthan village name: मालपुरा,Rajasthan Village Name: Malpura,Malpura,मालपुरा - Mālpurā,मालपुरा , Mālpurā,,,Mālpurā
मालबमोरी,Malabamori,rajasthan village name: मालबमोरी,Rajasthan Village Name: Malbamori,Malbamori,मालबमोरी - Māl Bamōrī,मालबमोरी , Māl Bamōrī,,,Māl Bamōrī
मालमाथा,Malamatha,rajasthan village name: मालमाथा,Rajasthan Village Name: Malmatha,Malmatha,मालमाथा - Mālamāthā,मालमाथा , Mālamāthā,,,Mālamāthā
मालवा का चोरा,Malwa's Chora,rajasthan village name: मालवा का चोरा,Rajasthan Village Name: Malwa's Chora,Malwa's Chora,मालवा का चोरा - Mālavā kā Chōrā,मालवा का चोरा , Mālavā kā Chōrā,,,Mālavā kā Chōrā
मालवाडा,Malwada,rajasthan village name: मालवाडा,Rajasthan Village Name: Malwada,Malwada,मालवाडा - Mālavāḍā,मालवाडा , Mālavāḍā,,,Mālavāḍā
मालसर,Malsar,rajasthan village name: मालसर,Rajasthan Village Name: Mallsar,Mallsar,मालसर - Mālasar,मालसर , Mālasar,,,Mālasar
मालाकाली,Malakali,rajasthan village name: मालाकाली,Rajasthan Village Name: Malakali,Malakali,मालाकाली - Mālākālī,मालाकाली , Mālākālī,,,Mālākālī
मालाखेडा,Malakheda,rajasthan village name: मालाखेडा,Rajasthan Village Name: Malakheda,Malakheda,मालाखेडा - Mālākheḍā,मालाखेडा , Mālākheḍā,,,Mālākheḍā
मालाखोलडा,Malakholda,rajasthan village name: मालाखोलडा,Rajasthan Village Name: Malakholda,Malakholda,मालाखोलडा - Mālākholḍā,मालाखोलडा , Mālākholḍā,,,Mālākholḍā
